# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:(.)w_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       1.845101385126e+05       2.206675414834e-08       2.500504117674e+00       7.412712402425e+04       1.266753684258e+04       6.865459150431e-02       2.337301644974e+09       1.442364062799e+00       3.189109464942e+09       1.539856614839e+07       8.413577491571e+07       2.985121549152e-08       2.206126713354e+09       5.494830516107e+09       5.999674766814e+04      -5.999666881475e+04      -9.999986857057e-01       5.999835409815e-02      -2.636017010560e-06       1.799901247243e+05       1.799901247243e+05       1.799901247243e+05       6.735716941573e-04       7.372862326559e-02 
       1.832274982678e+05       2.237582935841e-08       2.517927941768e+00       7.310475367182e+04       1.266751941875e+04       6.913509382277e-02       2.321050559877e+09       1.452405483421e+00       3.101352711050e+09       1.507966117694e+07       8.239331937544e+07       2.985121549152e-08       2.145419321159e+09       5.344305009417e+09       5.999665595644e+04      -5.999657488054e+04      -9.999986486597e-01       5.999830768538e-02      -2.691618456723e-06       1.799898462555e+05       1.799898462555e+05       1.799898462555e+05       6.739185600579e-04       7.387612997389e-02 
       1.819537740954e+05       2.268922698702e-08       2.535472621470e+00       7.209651547954e+04       1.266750187407e+04       6.961895854094e-02       2.304912441850e+09       1.462516425482e+00       3.016010797130e+09       1.476736067349e+07       8.068694979462e+07       2.985121549152e-08       2.086382440131e+09       5.197907544291e+09       5.999656166080e+04      -5.999647829981e+04      -9.999986105705e-01       5.999825996492e-02      -2.748391639583e-06       1.799895599409e+05       1.799895599409e+05       1.799895599409e+05       6.742663010798e-04       7.402474912477e-02 
       1.806889040166e+05       2.300700734438e-08       2.553138987316e+00       7.110221388201e+04       1.266748420771e+04       7.010620918004e-02       2.288886505622e+09       1.472697364945e+00       2.933017273386e+09       1.446152786158e+07       7.901591884428e+07       2.985121549152e-08       2.028970102367e+09       5.055524818924e+09       5.999646470849e+04      -5.999637899806e+04      -9.999985714087e-01       5.999821089996e-02      -2.806361220741e-06       1.799892655598e+05       1.799892655598e+05       1.799892655598e+05       6.746149236456e-04       7.417448764178e-02 
       1.794328264836e+05       2.332923157924e-08       2.570927875440e+00       7.012165602175e+04       1.266746641882e+04       7.059686942573e-02       2.272971971381e+09       1.482948780961e+00       2.852307518528e+09       1.416202879731e+07       7.737949467233e+07       2.985121549152e-08       1.973137604870e+09       4.917046643233e+09       5.999636502474e+04      -5.999627689873e+04      -9.999985311443e-01       5.999816045267e-02      -2.865552379899e-06       1.799889628852e+05       1.799889628852e+05       1.799889628852e+05       6.749644342246e-04       7.432535248639e-02 
       1.781854803764e+05       2.365596169054e-08       2.588840127612e+00       6.915465171167e+04       1.266744850657e+04       7.109096312925e-02       2.257168064734e+09       1.493271155881e+00       2.773818689463e+09       1.386873231073e+07       7.577696058303e+07       2.985121549152e-08       1.918841474743e+09       4.782365853362e+09       5.999626253269e+04      -5.999617192310e+04      -9.999984897461e-01       5.999810858413e-02      -2.925990825706e-06       1.799886516837e+05       1.799886516837e+05       1.799886516837e+05       6.753148393333e-04       7.447735065810e-02 
       1.769468049999e+05       2.398726053916e-08       2.606876591273e+00       6.820101339808e+04       1.266743047010e+04       7.158851430857e-02       2.241474016673e+09       1.503664975281e+00       2.697489672360e+09       1.358150994833e+07       7.420761472315e+07       2.985121549152e-08       1.866039435337e+09       4.651378228525e+09       5.999615715331e+04      -5.999606399022e+04      -9.999984471823e-01       5.999805525437e-02      -2.987702806840e-06       1.799883317153e+05       1.799883317153e+05       1.799883317153e+05       6.756661455359e-04       7.463048919455e-02 
       1.757167400808e+05       2.432319185982e-08       2.625038119575e+00       6.726055612425e+04       1.266741230858e+04       7.208954714958e-02       2.225889063535e+09       1.514130727983e+00       2.623261035064e+09       1.330023591686e+07       7.267076977450e+07       2.985121549152e-08       1.814690373339e+09       4.523982410143e+09       5.999604880537e+04      -5.999595301689e+04      -9.999984034202e-01       5.999800042225e-02      -3.050715123322e-06       1.799880027334e+05       1.799880027334e+05       1.799880027334e+05       6.760183594446e-04       7.478477517163e-02 
       1.744952257651e+05       2.466382027317e-08       2.643325571411e+00       6.633309749440e+04       1.266739402112e+04       7.259408600721e-02       2.210412446965e+09       1.524668906073e+00       2.551074980827e+09       1.302478702817e+07       7.116575265302e+07       2.985121549152e-08       1.764754306756e+09       4.400079823202e+09       5.999593740534e+04      -5.999583891757e+04      -9.999983584260e-01       5.999794404550e-02      -3.115055138058e-06       1.799876644844e+05       1.799876644844e+05       1.799876644844e+05       6.763714877196e-04       7.494021570363e-02 
       1.732822026144e+05       2.500921129802e-08       2.661739811458e+00       6.541845763828e+04       1.266737560688e+04       7.310215540669e-02       2.195043413880e+09       1.535280004923e+00       2.480875303304e+09       1.275504264530e+07       6.969190421394e+07       2.985121549152e-08       1.716192353785e+09       4.279574599771e+09       5.999582286733e+04      -5.999572160429e+04      -9.999983121651e-01       5.999788608067e-02      -3.180750788627e-06       1.799873167074e+05       1.799873167074e+05       1.799873167074e+05       6.767255370701e-04       7.509681794333e-02 
